base_date,market,period,direction,rank,ticker,name,start_date,start_close,end_close,stock_ret,market_ret,excess_ret,market_cap,trading_value
2026-09-14,KOSPI,1d,up,1,017900,광전자,2026-09-14,7900.0,10270.0,30.000000000000004,-3.2640077801302736,33.26400778013028,595082446010.0,272565426215.0
2026-09-14,KOSPI,1d,up,2,000670,영풍,2026-09-14,38450.0,49950.0,29.908972691807545,-3.2640077801302736,33.17298047193782,919613615850.0,30329587275.0
2026-09-14,KOSPI,1d,up,3,003200,일신방직,2026-09-14,10330.0,12250.0,18.586640851887704,-3.2640077801302736,21.85064863201798,281260000000.0,9731078310.0
2026-09-14,KOSPI,1d,up,4,217590,티엠씨,2026-09-14,10880.0,12770.0,17.371323529411775,-3.2640077801302736,20.63533130954205,307683253250.0,88278638730.0
2026-09-14,KOSPI,1d,up,5,011090,에넥스,2026-09-14,1461.0,1696.0,16.0848733744011,-3.2640077801302736,19.348881154531373,20109563584.0,2221060330.0
2026-09-14,KOSPI,1d,up,6,047400,유니온머티리얼,2026-09-14,870.0,968.0,11.264367816091948,-3.2640077801302736,14.528375596222222,40656000000.0,682806103.0
2026-09-14,KOSPI,1d,up,7,020120,키다리스튜디오,2026-09-14,8100.0,9000.0,11.111111111111116,-3.2640077801302736,14.375118891241389,333573894000.0,6097595990.0
2026-09-14,KOSPI,1d,up,8,480370,씨케이솔루션,2026-09-14,1782.0,1954.0,9.652076318742985,-3.2640077801302736,12.91608409887326,63468671232.0,10757333369.0
2026-09-14,KOSPI,1d,up,9,015590,DKME,2026-09-14,1859.0,2035.0,9.467455621301779,-3.2640077801302736,12.731463401432052,108661486780.0,765190088.0
2026-09-14,KOSPI,1d,up,10,0220W0,한화머시너리앤서비스홀딩스,2026-09-14,6260.0,6790.0,8.4664536741214,-3.2640077801302736,11.730461454251675,573860482650.0,51155260580.0
2026-09-14,KOSPI,1d,up,11,006490,프리티,2026-09-14,2390.0,2590.0,8.368200836820083,-3.2640077801302736,11.632208616950358,45963002470.0,5499412217.0
2026-09-14,KOSPI,1d,up,12,308170,씨티알모빌리티,2026-09-14,3430.0,3690.0,7.580174927113692,-3.2640077801302736,10.844182707243966,31770900000.0,10422020.0
2026-09-14,KOSPI,1d,up,13,012320,경동인베스트,2026-09-14,46900.0,50400.0,7.462686567164178,-3.2640077801302736,10.726694347294451,119197159200.0,1484192225.0
2026-09-14,KOSPI,1d,up,14,004100,태양금속,2026-09-14,2780.0,2970.0,6.834532374100721,-3.2640077801302736,10.098540154230996,108999000000.0,3767972679.0
2026-09-14,KOSPI,1d,up,15,023530,롯데쇼핑,2026-09-14,112000.0,119400.0,6.607142857142856,-3.2640077801302736,9.871150637273129,3377677347000.0,24732685750.0
2026-09-14,KOSPI,1d,up,16,006370,대구백화점,2026-09-14,3200.0,3410.0,6.562500000000004,-3.2640077801302736,9.826507780130278,36901693510.0,296586920.0
2026-09-14,KOSPI,1d,up,17,093370,후성,2026-09-14,13310.0,14110.0,6.010518407212628,-3.2640077801302736,9.274526187342902,1513372706300.0,107715211580.0
2026-09-14,KOSPI,1d,up,18,090460,비에이치,2026-09-14,19020.0,20150.0,5.941114616193488,-3.2640077801302736,9.205122396323763,679287490700.0,51994828665.0
2026-09-14,KOSPI,1d,up,19,272210,한화시스템,2026-09-14,70900.0,75000.0,5.782792665726366,-3.2640077801302736,9.04680044585664,14168954175000.0,77322249500.0
2026-09-14,KOSPI,1d,up,20,004560,현대비앤지스틸,2026-09-14,11980.0,12650.0,5.592654424040067,-3.2640077801302736,8.856662204170341,190746959150.0,1444428400.0
2026-09-14,KOSPI,1d,down,1,006380,카프로,2026-09-14,120.0,71.0,-40.833333333333336,-3.2640077801302736,-37.569325553203065,11998999716.0,183591052.0
2026-09-14,KOSPI,1d,down,2,001770,SHD,2026-09-14,9250.0,7540.0,-18.486486486486488,-3.2640077801302736,-15.222478706356213,9160180120.0,729739765.0
2026-09-14,KOSPI,1d,down,3,001210,금호전기,2026-09-14,12450.0,10770.0,-13.493975903614452,-3.2640077801302736,-10.229968123484177,133289692320.0,74680079570.0
