base_date,market,period,direction,rank,ticker,name,start_date,start_close,end_close,stock_ret,market_ret,excess_ret,market_cap,trading_value
2026-09-15,KOSPI,1d,up,1,001770,SHD,2026-09-15,7540.0,9800.0,29.973474801061005,-0.8543811907479659,30.82785599180897,11905804400.0,435896970.0
2026-09-15,KOSPI,1d,up,2,010580,에스엠벡셀,2026-09-15,2350.0,2790.0,18.723404255319153,-0.8543811907479659,19.577785446067118,310392410400.0,58449981979.0
2026-09-15,KOSPI,1d,up,3,372910,한컴라이프케어,2026-09-15,1902.0,2065.0,8.569926393270233,-0.8543811907479659,9.424307584018198,57147648390.0,26671433660.0
2026-09-15,KOSPI,1d,up,4,077500,유니퀘스트,2026-09-15,6780.0,7330.0,8.112094395280245,-0.8543811907479659,8.96647558602821,158328747660.0,2934086360.0
2026-09-15,KOSPI,1d,up,5,336260,두산퓨얼셀,2026-09-15,47800.0,51600.0,7.949790794979084,-0.8543811907479659,8.804171985727049,3379476261600.0,102065545325.0
2026-09-15,KOSPI,1d,up,6,092220,KEC,2026-09-15,2560.0,2750.0,7.421875,-0.8543811907479659,8.276256190747965,110419727000.0,5955838479.0
2026-09-15,KOSPI,1d,up,7,002870,신풍,2026-09-15,1040.0,1111.0,6.826923076923075,-0.8543811907479659,7.681304267671041,38839115700.0,209063516.0
2026-09-15,KOSPI,1d,up,8,004020,현대제철,2026-09-15,33000.0,35150.0,6.515151515151518,-0.8543811907479659,7.369532705899484,4690619342750.0,62026284725.0
2026-09-15,KOSPI,1d,up,9,192650,드림텍,2026-09-15,6380.0,6790.0,6.42633228840126,-0.8543811907479659,7.280713479149226,447371568910.0,9794657730.0
2026-09-15,KOSPI,1d,up,10,004270,남성,2026-09-15,5150.0,5470.0,6.2135922330097015,-0.8543811907479659,7.0679734237576675,24943900160.0,56094120.0
2026-09-15,KOSPI,1d,up,11,003670,포스코퓨처엠,2026-09-15,178900.0,189300.0,5.813303521520408,-0.8543811907479659,6.667684712268374,16837519446000.0,77340890050.0
2026-09-15,KOSPI,1d,up,12,017180,명문제약,2026-09-15,1237.0,1308.0,5.739692805173813,-0.8543811907479659,6.594073995921779,44411117832.0,3274954165.0
2026-09-15,KOSPI,1d,up,13,001430,세아베스틸지주,2026-09-15,40950.0,43250.0,5.616605616605619,-0.8543811907479659,6.470986807353585,1551036646750.0,9962455375.0
2026-09-15,KOSPI,1d,up,14,028100,동아지질,2026-09-15,17730.0,18690.0,5.414551607445017,-0.8543811907479659,6.268932798192983,209741366730.0,16236608655.0
2026-09-15,KOSPI,1d,up,15,000950,전방,2026-09-15,30850.0,32500.0,5.348460291734192,-0.8543811907479659,6.202841482482158,54600000000.0,23332900.0
2026-09-15,KOSPI,1d,up,16,005070,코스모신소재,2026-09-15,39250.0,41250.0,5.095541401273884,-0.8543811907479659,5.94992259202185,1370101053750.0,4556348625.0
2026-09-15,KOSPI,1d,up,17,361610,SK아이이테크놀로지,2026-09-15,15750.0,16550.0,5.0793650793650835,-0.8543811907479659,5.9337462701130494,1353576505000.0,8635978925.0
2026-09-15,KOSPI,1d,up,18,000990,DB하이텍,2026-09-15,111300.0,116700.0,4.851752021563338,-0.8543811907479659,5.706133212311304,5076985419600.0,107810653300.0
