base_date,market,period,direction,rank,ticker,name,start_date,start_close,end_close,stock_ret,market_ret,excess_ret,market_cap,trading_value
2026-09-08,KOSPI,1d,up,1,004310,현대약품,2026-09-08,8420.0,10440.0,23.990498812351536,-0.5842419078850525,24.574740720236587,334080000000.0,322630679660.0
2026-09-08,KOSPI,1d,up,2,010580,에스엠벡셀,2026-09-08,1696.0,2095.0,23.525943396226424,-0.5842419078850525,24.110185304111475,233072437200.0,28777064207.0
2026-09-08,KOSPI,1d,up,3,052690,한전기술,2026-09-08,122300.0,142600.0,16.59852820932135,-0.5842419078850525,17.182770117206402,5450172000000.0,313345395150.0
2026-09-08,KOSPI,1d,up,4,017900,광전자,2026-09-08,7090.0,8180.0,15.373765867418898,-0.5842419078850525,15.958007775303951,473979981340.0,120510670820.0
2026-09-08,KOSPI,1d,up,5,011700,한신기계,2026-09-08,2375.0,2630.0,10.736842105263156,-0.5842419078850525,11.321084013148209,85333377130.0,6933767068.0
2026-09-08,KOSPI,1d,up,6,035510,신세계 I&C,2026-09-08,13890.0,15300.0,10.151187904967607,-0.5842419078850525,10.73542981285266,213907770000.0,5579437720.0
2026-09-08,KOSPI,1d,up,7,047040,대우건설,2026-09-08,18410.0,19970.0,8.473655621944598,-0.5842419078850525,9.057897529829651,8205825530860.0,547738483500.0
2026-09-08,KOSPI,1d,up,8,089590,제주항공,2026-09-08,4625.0,4970.0,7.45945945945945,-0.5842419078850525,8.043701367344502,400785695450.0,3362986956.0
2026-09-08,KOSPI,1d,up,9,014130,한익스프레스,2026-09-08,2430.0,2600.0,6.995884773662553,-0.5842419078850525,7.580126681547606,30726495800.0,166008589.0
2026-09-08,KOSPI,1d,up,10,071950,코아스,2026-09-08,1849.0,1977.0,6.922660897782595,-0.5842419078850525,7.506902805667648,28585828515.0,136015002.0
2026-09-08,KOSPI,1d,up,11,004770,써니전자,2026-09-08,2025.0,2160.0,6.666666666666665,-0.5842419078850525,7.250908574551717,76696066080.0,6013138763.0
2026-09-08,KOSPI,1d,up,12,008930,한미사이언스,2026-09-08,54200.0,57700.0,6.457564575645747,-0.5842419078850525,7.041806483530799,3946192435000.0,47717454250.0
2026-09-08,KOSPI,1d,up,13,072130,유엔젤,2026-09-08,4820.0,5120.0,6.224066390041494,-0.5842419078850525,6.808308297926546,65000724480.0,363206115.0
2026-09-08,KOSPI,1d,up,14,017180,명문제약,2026-09-08,1245.0,1320.0,6.024096385542177,-0.5842419078850525,6.608338293427229,44818559280.0,2618422508.0
2026-09-08,KOSPI,1d,up,15,249420,일동제약,2026-09-08,15040.0,15940.0,5.984042553191493,-0.5842419078850525,6.568284461076546,504313736880.0,13923426905.0
2026-09-08,KOSPI,1d,up,16,025820,이구산업,2026-09-08,4265.0,4520.0,5.978898007033995,-0.5842419078850525,6.563139914919047,151157840000.0,4636094855.0
2026-09-08,KOSPI,1d,up,17,015590,DKME,2026-09-08,1552.0,1644.0,5.927835051546393,-0.5842419078850525,6.512076959431445,87783530352.0,275246089.0
