base_date,market,period,direction,rank,ticker,name,start_date,start_close,end_close,stock_ret,market_ret,excess_ret,market_cap,trading_value
2026-09-22,KOSPI,1d,up,1,007810,코리아써키트,2026-09-22,52300.0,65600.0,25.430210325047796,0.14541106094421163,25.284799264103583,1573259872000.0,195399523050.0
2026-09-22,KOSPI,1d,up,2,011300,우성머티리얼스,2026-09-22,2295.0,2720.0,18.518518518518512,0.14541106094421163,18.3731074575743,46889821600.0,2347994540.0
2026-09-22,KOSPI,1d,up,3,002360,SH에너지화학,2026-09-22,1850.0,2120.0,14.5945945945946,0.14541106094421163,14.449183533650388,23560350760.0,589014795.0
2026-09-22,KOSPI,1d,up,4,009580,무림P&P,2026-09-22,1631.0,1815.0,11.281422440220723,0.14541106094421163,11.13601137927651,113198508060.0,22953931083.0
2026-09-22,KOSPI,1d,up,5,004870,티웨이홀딩스,2026-09-22,908.0,1009.0,11.123348017621137,0.14541106094421163,10.977936956676924,22836392282.0,499265353.0
2026-09-22,KOSPI,1d,up,6,353200,대덕전자,2026-09-22,101900.0,112300.0,10.20608439646713,0.14541106094421163,10.060673335522917,5549520677500.0,333853613700.0
2026-09-22,KOSPI,1d,up,7,003490,대한항공,2026-09-22,28850.0,31400.0,8.838821490467929,0.14541106094421163,8.693410429523716,11562127122600.0,225281262575.0
2026-09-22,KOSPI,1d,up,8,020560,아시아나항공,2026-09-22,7700.0,8370.0,8.701298701298699,0.14541106094421163,8.555887640354488,1724142251070.0,4975364410.0
2026-09-22,KOSPI,1d,up,9,036570,NC,2026-09-22,206500.0,223000.0,7.9903147699757815,0.14541106094421163,7.84490370903157,4804316906000.0,28737114000.0
2026-09-22,KOSPI,1d,up,10,071090,하이스틸,2026-09-22,3270.0,3530.0,7.9510703363914415,0.14541106094421163,7.80565927544723,71275892630.0,22913720135.0
2026-09-22,KOSPI,1d,up,11,020000,한섬,2026-09-22,18560.0,19920.0,7.3275862068965525,0.14541106094421163,7.182175145952341,427821720480.0,7031972955.0
2026-09-22,KOSPI,1d,up,12,047400,유니온머티리얼,2026-09-22,913.0,979.0,7.2289156626506035,0.14541106094421163,7.083504601706392,41118000000.0,3615173657.0
2026-09-22,KOSPI,1d,up,13,066570,LG전자,2026-09-22,202500.0,216500.0,6.913580246913575,0.14541106094421163,6.768169185969364,35264524127000.0,350449595250.0
2026-09-22,KOSPI,1d,up,14,307950,현대오토에버,2026-09-22,361000.0,385000.0,6.648199445983383,0.14541106094421163,6.502788385039171,10558233070000.0,48714139250.0
2026-09-22,KOSPI,1d,up,15,052690,한전기술,2026-09-22,129600.0,138100.0,6.558641975308643,0.14541106094421163,6.413230914364432,5278182000000.0,274892437750.0
2026-09-22,KOSPI,1d,up,16,001440,대한전선,2026-09-22,29700.0,31600.0,6.3973063973064015,0.14541106094421163,6.25189533636219,6193366033600.0,297225591525.0
2026-09-22,KOSPI,1d,up,17,089590,제주항공,2026-09-22,4320.0,4585.0,6.134259259259256,0.14541106094421163,5.988848198315044,369738916225.0,2081428142.0
2026-09-22,KOSPI,1d,up,18,195870,해성디에스,2026-09-22,56300.0,59700.0,6.039076376554164,0.14541106094421163,5.893665315609953,1014900000000.0,19960186500.0
2026-09-22,KOSPI,1d,up,19,014990,인디에프,2026-09-22,4060.0,4300.0,5.9113300492610765,0.14541106094421163,5.765918988316865,64597175700.0,2468129045.0
2026-09-22,KOSPI,1d,up,20,026890,스틱인베스트먼트,2026-09-22,7460.0,7900.0,5.898123324396787,0.14541106094421163,5.752712263452575,306289612300.0,319680515.0
2026-09-22,KOSPI,1d,down,1,012170,아센디오,2026-09-22,3200.0,2820.0,-11.875000000000002,0.14541106094421163,-12.020411060944213,20576753220.0,126135816.0
2026-09-22,KOSPI,1d,down,2,044380,주연테크,2026-09-22,484.0,427.0,-11.776859504132231,0.14541106094421163,-11.922270565076442,5933726932.0,218342552.0
2026-09-22,KOSPI,1d,down,3,020120,키다리스튜디오,2026-09-22,8390.0,7510.0,-10.488676996424317,0.14541106094421163,-10.63408805736853,278348882660.0,6269858070.0
2026-09-22,KOSPI,1d,down,4,001770,SHD,2026-09-22,5200.0,4700.0,-9.615384615384615,0.14541106094421163,-9.760795676328826,5709926600.0,394957940.0
2026-09-22,KOSPI,1d,down,5,017900,광전자,2026-09-22,11060.0,10200.0,-7.775768535262206,0.14541106094421163,-7.921179596206418,591026382600.0,43164414725.0
2026-09-22,KOSPI,1d,down,6,006490,프리티,2026-09-22,1475.0,1381.0,-6.372881355932202,0.14541106094421163,-6.518292416876414,24507685873.0,262111492.0
2026-09-22,KOSPI,1d,down,7,004770,써니전자,2026-09-22,2015.0,1893.0,-6.054590570719598,0.14541106094421163,-6.20000163166381,67215580134.0,2594806927.0
2026-09-22,KOSPI,1d,down,8,069640,한세엠케이,2026-09-22,1383.0,1305.0,-5.639913232104121,0.14541106094421163,-5.785324293048332,28364802705.0,48884962.0
