base_date,market,period,direction,rank,ticker,name,start_date,start_close,end_close,stock_ret,market_ret,excess_ret,market_cap,trading_value
2026-09-21,KOSPI,1d,up,1,010580,에스엠벡셀,2026-09-21,2500.0,2845.0,13.79999999999999,1.6461591794877828,12.153840820512208,316511257200.0,40046455268.0
2026-09-21,KOSPI,1d,up,2,003160,디아이,2026-09-21,31400.0,35400.0,12.73885350318471,1.6461591794877828,11.092694323696929,1001820000000.0,67029909200.0
2026-09-21,KOSPI,1d,up,3,092220,KEC,2026-09-21,2855.0,3160.0,10.683012259194392,1.6461591794877828,9.03685307970661,126882304480.0,5749109929.0
2026-09-21,KOSPI,1d,up,4,009900,명신산업,2026-09-21,7920.0,8700.0,9.84848484848484,1.6461591794877828,8.202325668997059,456490157100.0,13013535940.0
2026-09-21,KOSPI,1d,up,5,029460,케이씨,2026-09-21,41300.0,44600.0,7.9903147699757815,1.6461591794877828,6.344155590487999,491515861000.0,4270698500.0
2026-09-21,KOSPI,1d,up,6,002360,SH에너지화학,2026-09-21,1723.0,1850.0,7.370864770748686,1.6461591794877828,5.7247055912609035,20559740050.0,211168898.0
2026-09-21,KOSPI,1d,up,7,192650,드림텍,2026-09-21,7640.0,8200.0,7.329842931937169,1.6461591794877828,5.683683752449387,540271997800.0,21590858375.0
2026-09-21,KOSPI,1d,up,8,007660,이수페타시스,2026-09-21,103700.0,110300.0,6.364513018322082,1.6461591794877828,4.718353838834299,8097036855700.0,135513151750.0
2026-09-21,KOSPI,1d,up,9,281820,케이씨텍,2026-09-21,72700.0,77100.0,6.052269601100413,1.6461591794877828,4.40611042161263,1526476763100.0,17560857800.0
2026-09-21,KOSPI,1d,up,10,000520,삼일제약,2026-09-21,7760.0,8220.0,5.927835051546393,1.6461591794877828,4.28167587205861,178306686420.0,1942102365.0
2026-09-21,KOSPI,1d,up,11,020000,한섬,2026-09-21,17560.0,18560.0,5.6947608200455635,1.6461591794877828,4.048601640557781,398613008640.0,6748899435.0
2026-09-21,KOSPI,1d,up,12,453340,현대그린푸드,2026-09-21,18130.0,19140.0,5.570876999448426,1.6461591794877828,3.9247178199606436,621506175180.0,1872015410.0
2026-09-21,KOSPI,1d,up,13,034730,SK,2026-09-21,545000.0,575000.0,5.504587155963292,1.6461591794877828,3.858427976475509,41689054225000.0,56154444500.0
2026-09-21,KOSPI,1d,up,14,017900,광전자,2026-09-21,10520.0,11060.0,5.133079847908739,1.6461591794877828,3.4869206684209564,640858018780.0,220447807505.0
2026-09-21,KOSPI,1d,up,15,005930,삼성전자,2026-09-21,261000.0,274000.0,4.980842911877392,1.6461591794877828,3.3346837323896095,1601880338592000.0,6053449470058.0
2026-09-21,KOSPI,1d,up,16,003580,HLB글로벌,2026-09-21,1515.0,1588.0,4.818481848184808,1.6461591794877828,3.172322668697025,80453645940.0,548891106.0
2026-09-21,KOSPI,1d,up,17,012170,아센디오,2026-09-21,3055.0,3200.0,4.746317512274967,1.6461591794877828,3.100158332787184,23349507200.0,71497960.0
2026-09-21,KOSPI,1d,up,18,008930,한미사이언스,2026-09-21,48500.0,50800.0,4.742268041237119,1.6461591794877828,3.096108861749336,3474290740000.0,5273969950.0
2026-09-21,KOSPI,1d,up,19,028260,삼성물산,2026-09-21,351000.0,367500.0,4.700854700854706,1.6461591794877828,3.0546955213669236,59596586017500.0,114282351000.0
2026-09-21,KOSPI,1d,up,20,000990,DB하이텍,2026-09-21,126100.0,131900.0,4.599524187153059,1.6461591794877828,2.953365007665276,5738255157200.0,90652920582.0
2026-09-21,KOSPI,1d,down,1,004870,티웨이홀딩스,2026-09-21,1063.0,908.0,-14.581373471307623,1.6461591794877828,-16.227532650795407,20550489784.0,395842704.0
2026-09-21,KOSPI,1d,down,2,001520,동양,2026-09-21,1353.0,1208.0,-10.716925351071694,1.6461591794877828,-12.363084530559476,129403414656.0,14354112542.0
2026-09-21,KOSPI,1d,down,3,092780,DYP,2026-09-21,4100.0,3670.0,-10.48780487804878,1.6461591794877828,-12.133964057536563,48328248200.0,4896470793.0
2026-09-21,KOSPI,1d,down,4,033250,체시스,2026-09-21,4695.0,4230.0,-9.904153354632584,1.6461591794877828,-11.550312534120366,27072000000.0,690208724.0
2026-09-21,KOSPI,1d,down,5,004310,현대약품,2026-09-21,10070.0,9270.0,-7.944389275074482,1.6461591794877828,-9.590548454562263,296640000000.0,27460087275.0
2026-09-21,KOSPI,1d,down,6,210980,SK디앤디,2026-09-21,3625.0,3340.0,-7.862068965517244,1.6461591794877828,-9.508228145005027,62182055880.0,898058535.0
2026-09-21,KOSPI,1d,down,7,000670,영풍,2026-09-21,47450.0,43850.0,-7.586933614330871,1.6461591794877828,-9.233092793818653,807308449550.0,4802774450.0
2026-09-21,KOSPI,1d,down,8,093240,형지엘리트,2026-09-21,323.0,300.0,-7.120743034055732,1.6461591794877828,-8.766902213543514,18417077700.0,309601851.0
2026-09-21,KOSPI,1d,down,9,322000,HD현대에너지솔루션,2026-09-21,127000.0,118600.0,-6.614173228346454,1.6461591794877828,-8.260332407834238,1328320000000.0,50742633350.0
2026-09-21,KOSPI,1d,down,10,010060,OCI홀딩스,2026-09-21,204000.0,191000.0,-6.372549019607843,1.6461591794877828,-8.018708199095625,3566014312000.0,79746292700.0
2026-09-21,KOSPI,1d,down,11,448730,삼성FN리츠,2026-09-21,5340.0,5000.0,-6.367041198501877,1.6461591794877828,-8.013200377989659,455250000000.0,1966584510.0
2026-09-21,KOSPI,1d,down,12,002070,비비안,2026-09-21,4255.0,4000.0,-5.99294947121034,1.6461591794877828,-7.639108650698123,19207200000.0,315734807.0
2026-09-21,KOSPI,1d,down,13,480370,씨케이솔루션,2026-09-21,2015.0,1895.0,-5.955334987593053,1.6461591794877828,-7.601494167080836,61552268160.0,524696351.0
2026-09-21,KOSPI,1d,down,14,001440,대한전선,2026-09-21,31450.0,29700.0,-5.564387917329094,1.6461591794877828,-7.210547096816877,5820980101200.0,114775205725.0
2026-09-21,KOSPI,1d,down,15,336260,두산퓨얼셀,2026-09-21,50900.0,48150.0,-5.402750491159136,1.6461591794877828,-7.0489096706469185,3153522906900.0,42478999875.0
2026-09-21,KOSPI,1d,down,16,006110,삼아알미늄,2026-09-21,59700.0,56500.0,-5.3601340033500815,1.6461591794877828,-7.006293182837864,854475207500.0,7265003850.0
2026-09-21,KOSPI,1d,down,17,093370,후성,2026-09-21,14680.0,13900.0,-5.313351498637598,1.6461591794877828,-6.959510678125381,1490849087000.0,46710976660.0
2026-09-21,KOSPI,1d,down,18,090460,비에이치,2026-09-21,20550.0,19470.0,-5.2554744525547425,1.6461591794877828,-6.901633632042525,656363644860.0,17830028005.0
2026-09-21,KOSPI,1d,down,19,004770,써니전자,2026-09-21,2125.0,2015.0,-5.1764705882352935,1.6461591794877828,-6.822629767723076,71547487570.0,1925388956.0
2026-09-21,KOSPI,1d,down,20,432320,KB스타리츠,2026-09-21,1761.0,1670.0,-5.167518455423059,1.6461591794877828,-6.813677634910841,251776355950.0,1267014648.0
2026-09-21,KOSPI,1w,up,1,017900,광전자,2026-09-14,7900.0,11060.0,39.99999999999999,1.4155032409973511,38.58449675900264,640858018780.0,1281862582930.0
2026-09-21,KOSPI,1w,up,2,217590,티엠씨,2026-09-14,10880.0,14430.0,32.628676470588225,1.4155032409973511,31.213173229590872,347679666750.0,357856263505.0
2026-09-21,KOSPI,1w,up,3,192650,드림텍,2026-09-14,6390.0,8200.0,28.325508607198756,1.4155032409973511,26.910005366201403,540271997800.0,96358157195.0
2026-09-21,KOSPI,1w,up,4,000500,가온전선,2026-09-14,254000.0,318500.0,25.393700787401574,1.4155032409973511,23.978197546404225,9484167829500.0,770735086000.0
2026-09-21,KOSPI,1w,up,5,000990,DB하이텍,2026-09-14,105800.0,131900.0,24.669187145557657,1.4155032409973511,23.253683904560305,5738255157200.0,598446376085.0
2026-09-21,KOSPI,1w,up,6,229640,LS에코에너지,2026-09-14,48650.0,59900.0,23.124357656731753,1.4155032409973511,21.7088544157344,1834430252100.0,154100536325.0
2026-09-21,KOSPI,1w,up,7,092220,KEC,2026-09-14,2575.0,3160.0,22.718446601941757,1.4155032409973511,21.302943360944404,126882304480.0,22269943309.0
2026-09-21,KOSPI,1w,up,8,020000,한섬,2026-09-14,15310.0,18560.0,21.227955584585235,1.4155032409973511,19.812452343587886,398613008640.0,26391849410.0
2026-09-21,KOSPI,1w,up,9,024900,디와이덕양,2026-09-14,1675.0,2015.0,20.298507462686576,1.4155032409973511,18.883004221689227,65618434700.0,6916599275.0
